backend,consec_topk_jaccard_mean,consec_topk_jaccard_std,conversation_id,conversation_label,highd_R,highd_step_angle_max_deg,highd_step_angle_mean_deg,highd_step_angle_min_deg,highd_step_angle_std_deg,mode,n_turns,to_first_topk_jaccard_mean,to_first_topk_jaccard_std,top1_change_rate,top1_entropy_bits,top1_score_mean,top1_score_std,top1_unique_symbols,topk_entropy_bits,topk_unique_symbols
bge-m3,0.22757466999891215,0.14789055060714665,extra::S64_LC1_expanded_free_chat,Baseline 11: Long Conversation - AIC Free chat baseline conversation (50 turns),0.7024878306447458,66.52768003216976,55.16845994233976,41.95676262666901,5.484723023788339,centered,100,0.22903563103563068,0.1347048855449913,0.8888888888888888,4.090645529265384,0.27382628462300124,0.07282111643457549,28,5.54696358573585,92
bge-m3,0.22411056956511463,0.13481902677627533,extra::S64_LC1_expanded_free_chat,Baseline 11: Long Conversation - AIC Free chat baseline conversation (50 turns),0.7287782781556501,63.77860043577066,52.87555594536805,41.97073764872301,5.567290474376826,raw,100,0.16749783549783528,0.12118451921323571,0.8383838383838383,4.036138547025141,0.5400039150235387,0.04489554651325058,30,5.597104503278908,97
cohere-v3,0.18301092846547373,0.1290634859825441,extra::S64_LC1_expanded_free_chat,Baseline 11: Long Conversation - AIC Free chat baseline conversation (50 turns),0.5659501590081766,81.01432237917516,65.05493628272498,49.24618791401785,6.380051792294635,centered,100,0.13262604062604047,0.12129015795684556,0.9191919191919192,5.040281086421716,0.28421207104018803,0.07963036377534681,45,5.918417680849251,111
cohere-v3,0.15339340793886236,0.11839577321992562,extra::S64_LC1_expanded_free_chat,Baseline 11: Long Conversation - AIC Free chat baseline conversation (50 turns),0.6237057947118463,76.48243663648957,61.27953609079266,46.78027396511297,6.07844714208645,raw,100,0.06884981684981688,0.11650224676993938,0.9191919191919192,5.344722159718795,0.49586496616697723,0.06051944616820288,51,6.223347008168099,126
e5-finetuned-v6,0.16034784519633,0.15669018780397131,extra::S64_LC1_expanded_free_chat,Baseline 11: Long Conversation - AIC Free chat baseline conversation (50 turns),0.6040874243722518,75.56883786300678,63.79951505449161,46.644373520119025,6.104294861662118,centered,100,0.16116616716616705,0.1577129542802126,0.898989898989899,5.26107687995712,0.22248693939004116,0.07607582019590974,48,6.396001640118778,136
e5-finetuned-v6,0.1308397550821793,0.14352915726807178,extra::S64_LC1_expanded_free_chat,Baseline 11: Long Conversation - AIC Free chat baseline conversation (50 turns),0.8481358850552354,50.21035210354179,41.04836805016444,31.2562529208116,4.122191316527113,raw,100,0.06304029304029304,0.11578343257687217,0.8686868686868687,5.52346518952518,0.7579922070310297,0.02422002189426794,53,6.673877862609648,140
google,0.19564610473701366,0.14240137924811822,extra::S64_LC1_expanded_free_chat,Baseline 11: Long Conversation - AIC Free chat baseline conversation (50 turns),0.549254590581927,77.01584423807594,63.91707637447496,40.5268730587453,7.574339162975522,centered,100,0.17917882117882097,0.12797904924561787,0.8383838383838383,4.988625754987411,0.23128752609501899,0.07444862897281265,42,5.9142307617178975,108
google,0.15031500486045926,0.1175502803511114,extra::S64_LC1_expanded_free_chat,Baseline 11: Long Conversation - AIC Free chat baseline conversation (50 turns),0.7775715195683465,56.360848418439254,46.90494325975672,28.64213151166373,5.396766383240297,raw,100,0.0893919413919414,0.1141129158632471,0.8484848484848485,4.958339231356438,0.6505463944466101,0.03733580791510542,39,6.277721357093507,127
jina-v3,0.15930601385146828,0.12477213591184957,extra::S64_LC1_expanded_free_chat,Baseline 11: Long Conversation - AIC Free chat baseline conversation (50 turns),0.6053454780067062,82.53106259175644,61.93351042438499,37.2226624656182,8.293036356627807,centered,100,0.15371361971361958,0.13334080621571612,0.9090909090909091,4.743794256582244,0.29788179628055284,0.08354966227763332,43,5.940477977987603,122
jina-v3,0.09667706031342388,0.11615850608269147,extra::S64_LC1_expanded_free_chat,Baseline 11: Long Conversation - AIC Free chat baseline conversation (50 turns),0.4916137042167564,89.4254283234655,69.2593328868643,48.025328391040325,8.005017619931685,raw,100,0.04471062271062275,0.10983525992651443,0.9292929292929293,5.410476586493827,0.3924749732823804,0.1568462167550812,55,6.700471989903532,148
mistral-embed,0.19643050552141444,0.12321192096503927,extra::S64_LC1_expanded_free_chat,Baseline 11: Long Conversation - AIC Free chat baseline conversation (50 turns),0.6357736736081717,71.8694725909265,59.24227138071193,41.25989497245793,6.561742309584048,centered,100,0.2176869796869794,0.1317624580752786,0.8686868686868687,4.567236100123334,0.22329015634401161,0.07356984194043076,35,5.763093706194761,105
mistral-embed,0.20965073086285185,0.1408845152772799,extra::S64_LC1_expanded_free_chat,Baseline 11: Long Conversation - AIC Free chat baseline conversation (50 turns),0.8451673733831017,52.337266907678185,39.8990339584652,26.90405115334967,5.07521488734342,raw,100,0.1237142857142856,0.11161166289979979,0.8383838383838383,4.616503697063224,0.7171481427305434,0.04140235153084497,34,5.771763944936186,101
nomic,0.17442512594027731,0.13890040274713966,extra::S64_LC1_expanded_free_chat,Baseline 11: Long Conversation - AIC Free chat baseline conversation (50 turns),0.6369843731063957,76.78449600539432,60.31791158281337,39.18214447226377,7.990798349786815,centered,100,0.08527472527472524,0.11197620336967896,0.9494949494949495,5.1701136010354105,0.26263725031940316,0.08334581605741043,46,6.1282423257265615,123
nomic,0.13184525911798634,0.1214382270168688,extra::S64_LC1_expanded_free_chat,Baseline 11: Long Conversation - AIC Free chat baseline conversation (50 turns),0.8100896311183616,55.678107694392935,44.91312209511491,30.455283756206615,5.298259800875956,raw,100,0.10542790542790538,0.13230165664290608,0.9191919191919192,5.493500565300241,0.6902133724172731,0.052782819793157514,54,6.350631633429194,126
openai-3-large,0.15777421231966673,0.14035763292082898,extra::S64_LC1_expanded_free_chat,Baseline 11: Long Conversation - AIC Free chat baseline conversation (50 turns),0.5574348535401866,77.74396931466809,64.07723911736558,49.18747385252649,6.584973156221663,centered,100,0.06613919413919414,0.11739982089773597,0.898989898989899,5.343305065219474,0.236084202296573,0.09180948905682146,50,6.335076226232119,124
openai-3-large,0.15589954377833154,0.14228186653749583,extra::S64_LC1_expanded_free_chat,Baseline 11: Long Conversation - AIC Free chat baseline conversation (50 turns),0.49400623569282176,84.31476791800131,67.54176791579033,51.270455108188834,7.322711183652666,raw,100,0.06144322344322348,0.11442758564557756,0.8686868686868687,5.4659516902800505,0.34170599438296356,0.08399279114120968,53,6.518500638244663,132
openai-3-small,0.17719474689171646,0.16329635186281338,extra::S64_LC1_expanded_free_chat,Baseline 11: Long Conversation - AIC Free chat baseline conversation (50 turns),0.5430344948877611,79.7182822583625,65.41800973310076,45.77603016650797,6.8480945318087265,centered,100,0.0882963702963703,0.12112496009316012,0.8686868686868687,5.0360145056917975,0.25685367310611457,0.0901765910960176,47,6.2479862912314355,130
openai-3-small,0.16659188174339679,0.16016135362406503,extra::S64_LC1_expanded_free_chat,Baseline 11: Long Conversation - AIC Free chat baseline conversation (50 turns),0.5206369178894562,83.47043969366256,66.68636620762027,46.56315625531599,7.35239599977689,raw,100,0.07882051282051285,0.11651048824946952,0.8282828282828283,5.065533250490486,0.3801412971387588,0.08098586853450233,46,6.43076494342639,134
